mg_HomeTeam,mg_AwayTeam,mg_HS,mg_AS,mg_HF,mg_AF,mg_HC,mg_AC,mg_RollingAvg_FTHG,mg_RollingAvg_FTAG,mg_RollingAvg_TotalShots,mg_RollingAvg_TotalCorners,mg_RollingAvg_HomeHST,mg_RollingAvg_AwayAST,mg_HomeTeam_Form,mg_AwayTeam_Form
Genoa,Udinese,11.8,10.4,12.2,12.4,5.0,5.8,1.6,1.0,22.200000000000003,10.8,3.6,3.8,3.0,0.0
Monza,Como,9.6,11.6,14.4,16.4,3.8,3.4,0.6,1.0,21.2,7.199999999999999,2.8,3.6,1.0,1.0
Parma,Inter,11.8,12.8,12.4,11.6,3.8,6.6,1.2,0.8,24.6,10.399999999999999,4.6,3.2,2.0,6.0
Milan,Fiorentina,13.2,8.0,13.0,9.8,5.6,2.4,1.6,1.0,21.2,8.0,3.8,2.4,3.0,6.0
Lecce,Venezia,12.2,9.4,12.2,13.6,6.4,4.0,0.4,0.8,21.6,10.4,2.6,3.2,0.0,1.0
Empoli,Cagliari,8.2,5.6,13.8,13.6,3.4,2.0,0.4,0.4,13.799999999999999,5.4,1.6,1.8,1.0,3.0
Torino,Verona,12.2,10.4,12.6,15.8,5.6,4.0,1.4,0.6,22.6,9.6,3.4,3.0,4.0,4.0
Atalanta,Lazio,16.0,12.4,10.8,10.2,4.8,5.0,0.6,1.4,28.4,9.8,4.8,4.8,0.0,1.0
Roma,Juventus,15.0,11.0,7.4,13.0,4.0,3.0,2.2,1.0,26.0,7.0,4.0,4.6,6.0,3.0
Bologna,Napoli,16.0,9.0,13.8,12.6,5.4,3.8,2.8,1.4,25.0,9.2,5.4,3.8,6.0,4.0
