mg_HomeTeam,mg_AwayTeam,mg_HS,mg_AS,mg_HF,mg_AF,mg_HC,mg_AC,mg_RollingAvg_FTHG,mg_RollingAvg_FTAG,mg_RollingAvg_TotalShots,mg_RollingAvg_TotalCorners,mg_RollingAvg_HomeHST,mg_RollingAvg_AwayAST,mg_HomeTeam_Form,mg_AwayTeam_Form,mg_HomeWinProb,mg_DrawProb,mg_AwayWinProb
Udinese,Milan,14.2,16.6,16.6,8.4,4.6,7.0,1.6,1.6,30.8,11.6,5.2,6.0,0.0,1.0,15.08,45.6,39.32
Venezia,Monza,9.8,6.6,16.6,11.2,4.4,3.4,0.2,0.6,16.4,7.800000000000001,2.6,2.2,1.0,0.0,19.16,66.19,14.65
Inter,Cagliari,20.2,5.8,10.0,14.4,7.2,2.4,2.2,0.2,26.0,9.6,6.4,1.6,4.0,4.0,28.6,55.61,15.79
Juventus,Lecce,16.8,11.0,14.0,12.8,5.4,3.0,1.6,1.0,27.8,8.4,6.6,3.0,4.0,1.0,71.63,23.23,5.14
Atalanta,Bologna,15.0,11.6,8.4,14.8,6.4,3.8,0.2,0.8,26.6,10.2,4.0,4.2,0.0,4.0,6.09,11.8,82.11
Fiorentina,Parma,9.2,10.8,10.2,10.2,2.2,5.0,1.6,0.8,20.0,7.2,3.8,3.4,4.0,2.0,40.52,53.11,6.37
Verona,Genoa,10.8,10.2,14.6,12.8,4.4,5.0,0.4,0.6,21.0,9.4,3.0,2.4,2.0,3.0,13.22,54.16,32.63
Como,Torino,13.4,7.8,12.6,16.6,4.8,2.6,1.2,1.6,21.2,7.4,5.2,3.8,4.0,2.0,67.46,27.9,4.64
Lazio,Roma,17.2,15.4,9.2,11.8,7.6,7.2,2.0,1.2,32.6,14.8,5.6,6.4,4.0,4.0,20.53,64.58,14.89
Napoli,Empoli,15.6,12.6,9.4,16.4,6.6,4.6,1.6,0.6,28.2,11.2,5.0,2.8,4.0,2.0,56.89,36.81,6.3
